"","Region","Site","Quadrat","date_taken","annotation_status","Latitude","Longitude","Original.File.Name","Ascidians..stalked..Solitary","Ascidians..stalked.Colonial","Ascidians..Unstalked..Colonial","Ascidians..Unstalked..Solitary","Bryozoa..hard","Bryozoa..hard..encrusting","Bryozoa..Soft","Bryozoa..Soft..Foliaceous","Crustacea..Barnacles","Crustacea..Barnacles..Acorn","Echinoderms..sea.urchin..regular.urchins","Erect.coarse.branching.brown..Sargassum.sp.","Macroalgae..Articulated.calcareous..red","Macroalgae..Encrusting..brown","Macroalgae..Encrusting..red","Macroalgae..Erect.coarse.branching.brown","Macroalgae..Erect.coarse.branching.red","Macroalgae..Erect.fine.branching.brown","Macroalgae..Erect.fine.branching.green","Macroalgae..Erect.fine.branching.red","Macroalgae..Filamentous...filiform...brown","Macroalgae..Filamentous...filiform...green","Macroalgae..Filamentous...filiform...red","Macroalgae..Globose...saccate.brown","Macroalgae..Laminate..brown","Macroalgae..Laminate..brown..Zonaria.sp.","Macroalgae..Large.canopy.forming...Ecklonia","Molluscs..Gastropods","No.Data","Seagrasses..Elliptical.Leaves","Seagrasses..Strap.like.leaves","Shadow","Sponges..Erect.forms","Sponges.crusts","Substrate..Consolidated..hard..Boulders","Substrate..Consolidated..hard..Cobbles","Substrate..Consolidated..hard..Rock","Substrate..Unconsolidated...pebble.gravel","Substrate..Unconsolidated..Sand.Mud...2mm.","northing","easting"
"32","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.806375,151.304494444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0068D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258020.2071813,343060.655501403
"33","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8063611111111,151.304472222222,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0069D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,6258021.69977596,343058.480200659
"34","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8063611111111,151.304472222222,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0069D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258021.54222426,343058.47131685
"35","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8063472222222,151.304441666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0070D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,6258023.14756007,343055.712381002
"36","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8063472222222,151.304441666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0070D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258023.42208533,343055.698350984
"37","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8063361111111,151.304422222222,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0071D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258024.49647965,343053.753495935
"38","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8063277777778,151.304402777778,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0072D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258025.52778507,343051.936381865
"39","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8063277777778,151.304402777778,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0072D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258025.29814465,343052.043589577
"40","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8063083333333,151.304361111111,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0074D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258027.41233431,343048.191284
"41","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8063083333333,151.304361111111,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0074D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,16,0,24,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,4,6258027.40300259,343048.103196087
"42","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8062972222222,151.304338888889,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0075D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,6258028.4998048,343046.125080754
"43","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8062972222222,151.304338888889,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0075D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,40,0,0,0,12,0,32,0,0,0,0,0,0,0,0,0,0,0,4,6258028.53585286,343046.076780569
"44","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8062888888889,151.304319444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0076D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,16,4,24,0,0,0,0,0,16,0,0,0,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,6258029.72077305,343044.160525637
"45","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8062888888889,151.304319444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0076D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,28,0,16,0,0,0,0,0,0,0,0,0,8,0,48,0,0,0,0,0,0,0,0,0,0,0,0,6258029.45791821,343044.255840246
"46","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.806275,151.3043,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0077D.jpg_1.jpg",0,0,0,4,0,0,0,0,0,0,0,0,20,0,16,0,0,0,0,0,24,0,0,0,8,0,28,0,0,0,0,0,0,0,0,0,0,0,0,6258031.15224863,343042.283402307
"47","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8062666666667,151.304280555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0078D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,6258031.81438048,343040.724398464
"48","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8062666666667,151.304280555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0078D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,6258031.72254992,343040.779136084
"49","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8062388888889,151.304213888889,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0081D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258034.86554994,343034.322132342
"50","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8062111111111,151.304163888889,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0083D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,16,0,0,0,0,0,0,0,6258037.99555417,343029.57507167
"51","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8062111111111,151.304163888889,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0083D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,16,0,0,8,0,0,0,0,0,16,0,0,0,0,28,0,0,0,0,0,0,0,6258038.0158909,343029.736457096
"52","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8062027777778,151.304136111111,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0084D.jpg_1.jpg",0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,40,0,0,0,4,0,32,0,0,0,0,4,0,0,0,0,0,0,0,6258038.95088027,343027.079296341
"53","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8062027777778,151.304136111111,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0084D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,8,0,0,0,0,0,52,0,4,0,0,8,0,0,4,0,0,0,0,6258038.60489417,343027.332963577
"54","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8061833333333,151.304097222222,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0086D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,24,0,0,0,4,0,60,0,0,0,0,8,0,0,0,0,0,0,0,6258041.0837946,343023.45331197
"55","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8061833333333,151.304097222222,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0086D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,0,0,4,0,0,4,0,0,0,28,0,20,0,0,0,0,12,0,0,0,0,0,0,0,6258040.81035592,343023.526209906
"56","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.80615,151.304052777778,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0089D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,6258044.52514808,343019.284803701
"57","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.80615,151.304052777778,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0089D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,6258044.55995508,343019.207676164
"58","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8061222222222,151.304,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0092D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,40,0,8,0,0,0,0,0,28,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6258047.42720957,343014.364357389
"59","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8061083333333,151.303986111111,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0093D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,20,0,12,0,0,0,0,0,0,0,0,0,4,0,60,0,0,0,0,0,0,0,0,0,0,0,4,6258048.82832576,343012.853877088
"60","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8060944444444,151.303969444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0094D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,4,6258050.49504605,343011.612676407
"61","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8060944444444,151.303969444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0094D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,20,0,12,0,0,0,0,0,20,0,0,0,0,0,40,0,0,0,0,0,0,8,0,0,0,0,0,6258050.5513933,343011.481446255
"62","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8060611111111,151.303930555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0096D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258054.09055588,343008.022433803
"63","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8060611111111,151.303930555556,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0096D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,8,0,68,0,0,0,0,4,0,0,0,0,0,0,0,6258054.08797697,343007.852723589
"64","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8060416666667,151.303919444444,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0097D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,6258056.35245971,343006.670067583
"65","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.8060194444444,151.303916666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0098D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,4,0,20,0,0,0,0,0,12,0,0,0,0,0,56,0,0,0,0,8,0,0,0,0,0,0,0,6258058.76530493,343006.504388965
"66","Sydney","Manly.Outside","2","2014-03-04","verified_by_human",-33.8060194444444,151.303916666667,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0098D.jpg_2.jpg",0,0,0,0,0,0,0,0,0,0,0,0,20,0,16,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,4,0,0,0,0,0,0,0,6258058.82295579,343006.349906567
"67","Sydney","Manly.Outside","1","2014-03-04","verified_by_human",-33.806,151.303908333333,"2013.03.04_Sydney_Manly.Outside_Shelley.Beach_T1_0099D.jpg_1.jpg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,6258060.91764537,343005.510988515
